file,year,max_sqft
19642876011431.json,1965,
07618040108324.json,1965,
37682216038756.json,1965,
10621666006431.json,1965,
15633210138149.json,1965,
51714645130018.json,1965,
03739810330753.json,1965,
31750856116057.json,1965,
39685933935103.json,1965,
28662666058788.json,1965,
15633620119099.json,1965,
36676786098362.json,1965,
19647330124412.json,1965,
06615986003495.json,1965,
19647336017321.json,1965,
01612596001846.json,1960,
19648810127746.json,1965,
19647331932128.json,1965,
30666706030266.json,1965,
41689086043699.json,1965,
36678270137208.json,1965,
43694356047153.json,1965,
19647330124941.json,1965,
18642041838507.json,1965,
33671246107643.json,1965,
36677026118467.json,1965,
41688826043590.json,1965,
36678766061915.json,1965,
36678760116178.json,1965,
49709046052096.json,1965,
56726526062152.json,1965,
19648576118749.json,1965,
37681223732195.json,1965,
34765053430634.json,1965,
41689244137535.json,1965,
13631151330133.json,1965,
19647336019780.json,1965,
37683380121681.json,1965,
36679593633351.json,1965,
19647336058275.json,1965,
19643376011910.json,1965,
01612596001903.json,1959,
43733876047674.json,1965,
49706806051718.json,1965,
40688096043210.json,1965,
39685936120505.json,1965,
15634206009419.json,1965,
37680986038178.json,1965,
19101990128025.json,1965,
01611926066476.json,1965,
45700036050330.json,1965,
34674396110662.json,1965,
36678760141689.json,1965,
43733874331039.json,1965,
48705810134262.json,1965,
43104390124065.json,1965,
49709206060271.json,1965,
37683383731247.json,1965,
01751016117592.json,1965,
01612590112813.json,1965,
39686276119309.json,1965,
30664726027700.json,1965,
54722566054555.json,1965,
19647336019145.json,1965,
23656232335487.json,1965,
19647330125096.json,1965,
07617966004766.json,1965,
56724626055057.json,1965,
36679340140202.json,1965,
30666216029755.json,1965,
15633626119994.json,1965,
25102566069314.json,1965,
36675876116370.json,1965,
19643296011787.json,1965,
07618040109173.json,1965,
40687596043020.json,1965,
19101996116883.json,1965,
36676783631587.json,1965,
12629196008015.json,1965,
04615310432856.json,1965,
37683870105825.json,1965,
54767946094569.json,1965,
42104216069223.json,1965,
01611920137646.json,1965,
18641706010797.json,1965,
19647256057806.json,1965,
44698074430179.json,1965,
19647336020044.json,1965,
19648401936467.json,1965,
09100906069470.json,1965,
11626616007603.json,1965,
39686760140616.json,1965,
37683870129049.json,1965,
36677026119630.json,1965,
19647330124404.json,1965,
34674476034953.json,1965,
31667876031033.json,1965,
56725465630389.json,1965,
32669693236007.json,1965,
30664646110852.json,1965,
41104130135269.json,1965,
19647256015663.json,1965,
30664640112748.json,1965,
37680986038251.json,1965,
32669696031421.json,1965,
36678766098560.json,1965,
33672310113746.json,1965,
33751766111082.json,1965,
26102640128645.json,1965,
37683380140384.json,1965,
48705406109136.json,1965,
19647336016463.json,1965,
15633626009930.json,1965,
19647251936947.json,1965,
19647330128132.json,1965,
54105460119602.json,1965,
34765056069736.json,1965,
44697996049647.json,1965,
43694196046957.json,1965,
58727366056683.json,1965,
56725536120620.json,1965,
19752916022487.json,1965,
19651106023659.json,1965,
43695266047526.json,1965,
10751271030725.json,1965,
06616146003537.json,1965,
19645681933472.json,1965,
19648810113464.json,1965,
19648816058465.json,1965,
19647330127910.json,1965,
31668456117824.json,1965,
43694506071542.json,1965,
19647336060461.json,1965,
19753090132654.json,1965,
33752000108530.json,1965,
19647331933001.json,1965,
19647336019954.json,1965,
54718606118111.json,1965,
19647746020291.json,1965,
06616226003552.json,1965,
09619786109441.json,1965,
33670583330669.json,1965,
43696666048490.json,1965,
19646341934249.json,1965,
33670906061774.json,1965,
34673306106892.json,1965,
19645016013205.json,1965,
10739651035112.json,1965,
38684786041073.json,1965,
10621666088538.json,1965,
10622571033729.json,1965,
30739246058853.json,1965,
30664236027395.json,1965,
19647336016208.json,1965,
19647330109454.json,1965,
19648730141739.json,1965,
33671240102731.json,1965,
31669280139840.json,1965,
57726780111401.json,1965,
37683386119598.json,1965,
34674476034904.json,1965,
39686760119784.json,1965,
30665970111666.json,1965,
19647330124453.json,1965,
31668940138081.json,1965,
15637506010029.json,1965,
36103630139147.json,1965,
